label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,A,N,Y,F,1933061,3,10226834,<p>THE KITS IS 225MONNY ITIS 6MONNY</p> <p>BUT YOU CAN STOP COUNT ON TEIL CAN PAY 600</p>,562,544,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,1936652,3,10226832,<p>no he spent les.</p>,549,562,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2549539,3,10226918,<p>no they spend 95</p>,562,235,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2549486,3,10226921,<p>i agree because he spend on costume kits and spend 225</p>,562,235,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2550175,3,10226924,<p>NO he didint&nbsp;</p>,544,562,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2550590,3,10226927,<p>he did pay that much.</p>,562,56,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2550630,3,10226930,<p>he used $125 for sport western cartoon supererhero fairytale</p>,544,562,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2550985,3,10226934,<p>2+2+1+2+2 equals 9</p> <p>&nbsp;</p> <p>no because it is 9</p>,544,235,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2551972,3,10226936,<p>&nbsp; 15</p> <p>&nbsp;+</p> <p>&nbsp; 15</p> <p>&nbsp;+</p> <p>&nbsp;20</p> <p>+</p> <p>&nbsp;20</p> <p>&nbsp;+</p> <p>&nbsp;25</p> <p>&nbsp;+</p> <p>30</p> <p>+</p> <p>30</p> <p>+</p> <p>35</p> <p>+</p> <p>35</p> <p>=</p> <p>230</p>,75,235,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2430794,3,10226912,<p>1520</p>,544,75,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2434749,3,10226915,<p>225+225 450</p>,544,235,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,2436911,3,10226898,<p>30+40+25+60+70=$225</p>,562,235,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,2703884,3,10227018,"<p>Ryan spent exactly $225 because sports are $15,western is $20, cartoon is $25, superhero is $30, and fairytale is $35. If you add 2 sports, 2 westerns, 1 cartoon, 2 superheros, and 2 fairytales together, you get $225.</p>",562,544,,,,1,1,,,,,,,,
TRAINING,A,N,N,F,2703919,3,10227021,"<p>No, Ryan didn't spend exactly $225 because I added all of the costumes and how many costumes Ryan bought,I got $170.</p>",75,544,,,,0,0,,,,,,,,
TRAINING,B,N,N,F,3859779,3,10227213,<p>No &nbsp;because $15+$20+$25+$30+$35=125 NOT 225 so he didn't spent $225 on kits</p>,562,235,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,3859783,3,10227215,<p>it's 125</p>,544,562,,,,0,0,,,,,,,,
TRAINING,NR,N,N,M,2707312,3,10227027,"<p>Yes because 30 x 2 is 60, 60 + 40 = 100, 100 + 25 = 125, 125 + 60 = 185, and 70 + 185 = 255.</p>",544,562,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2707439,3,10227024,<p>yes becauyes because when i calculated i figured he spent $225</p>,562,544,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,2708287,3,10227031,<p>no</p>,562,235,,,,0,0,,,,,,,,
TRAINING,H,Y,N,M,2708364,3,10227034,<p>no Rayn havent spen 225 dollers on costume kit because we havent got there yet.</p>,562,235,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2708677,3,10227043,"<p>Ryan did not ,he actually spent 275$ instead of 225$</p>",562,544,,,,0,0,,,,,,,,
TRAINING,NR,N,N,F,2708717,3,10227038,"<p>Yes, Ryan did spend $225 on costumes because I added and checked and it was $225.</p>",235,544,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2708479,3,10227036,<p>No he did not spend 225$ because all of the costumes do not relly cost 225$</p>,562,544,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2708877,3,10227041,<p>No because I got $9 on all the kits I added and I got $9.</p>,549,544,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2709520,3,10227046,"<p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;Yes he did, he paid exactly $225. He bought more bought than 1 of the sports, western, superhero, and fairytale costume kits.</p>",562,544,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2709783,3,10227047,<p>No Ryan didnt spend 225 dollars on kits for the event.He spent to mutch money on kits he spent exaktly 240 dollars.</p> <p>&nbsp;</p>,75,544,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2709356,3,10227050,<p>Well no he only speend $125 for the Costume Kit.You just change the 2 to a 1&nbsp; .So not $225 it is $125.</p>,549,544,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2710756,3,10227096,"<p>No, because for all the costumes yes but he might have to pay to order if he has to if he doesn't have to the company will rise the price of the costumes.</p>",544,562,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2711805,3,10227099,<p>9</p>,544,562,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2711219,3,10227100,<p>NO BECAUSE 15+20+25+30+35=140.</p>,562,235,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2711537,3,10227056,<p>Yes because 30 pluse 40 pluse 25 pluse 60 pluse 70 = 225 dollars.</p>,562,235,,,,1,1,,,,,,,,
TRAINING,H,N,N,M,2711573,3,10227059,<p>i know</p>,562,75,,,718,,,,,,I,I,,,I
TRAINING,B,N,N,M,2712520,3,10227062,"<p>No,because the total of&nbsp; 15+20+25+30+35 doesn`t equal to $225 it equals to $145 .therefor,the amuont Ryan said is not the complete answer.</p>",235,56,,,,0,0,,,,,,,,
TRAINING,NR,N,N,F,2712547,3,10227065,<p>No he payed $325.</p>,544,562,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2713206,3,10227070,<p>Ryan&nbsp; did&nbsp; not&nbsp; spend&nbsp; 225&nbsp; dollars&nbsp; because&nbsp; if&nbsp;&nbsp; you&nbsp; add&nbsp;&nbsp; 15&nbsp; plus&nbsp; 20 plus&nbsp; 25&nbsp; plus&nbsp; 30&nbsp; plus&nbsp; 35&nbsp; equals&nbsp; 125&nbsp; dolars&nbsp; for&nbsp; costume&nbsp; kits .</p>,549,56,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2713043,3,10227068,"<p>No,he'd need 1 more Western costume. Everything adds up to 205 dollars and I need 225. So Ryan needs to buy 1 Western costume, it's the only costume worth 20 dollars.</p>",544,562,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2713213,3,10227074,<p>9</p>,562,56,,,,0,0,,,,,,,,
