label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,W,N,N,M,1251820,4,10189415,Becoming a young scientist. Is a lot of work for a person. For example you have to study for a long time.,648,126,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1252565,4,10189416,He was a very smart man.,82,126,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,312,4,10189125,"On this day in history, a man was born who helped shape the United States.",628,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1253261,4,10189417,watches and being helpful,126,865,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1253876,4,10189414,the main idea of this paragraph is that even if Banneker was busy farming he always had time to learn .,648,865,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,549,4,10189014,"The main idea of Young Scientist is that even though he was farming he was very curious.He helped farmers with their fields.His friend let him burrow a pocket watch, he took it appart and put it back together then made his own out of wood.",648,82,712,,,2,1,1,,,,,,,
TRAINING,H,N,Y,F,1849266,4,10189466,The main idea is that the little kid wants to be a sientest.,344,865,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1256123,4,10189396,Mr. Banneker was just like a young scientist. He was like that because he kept reading books about science and math.He was a very well educated.,865,82,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1849157,4,10189467,He made some iventions that worked.,865,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1256728,4,10189395,The main idea of the &quot;Young Scientist&quot; setion is that Banneker did other things than farming.An example is that he bulit a clock out of wood.,126,344,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1256466,4,10189393,to tell you about how Benjamin learned about sience as a young Boy.,638,344,,,,0,0,,,,,,,,
TRAINING,I,N,N,M,1257425,4,10189392,When Benneker was busy in the fields he never gave up.,126,566,,,,0,0,,,,,,,,
TRAINING,I,N,N,F,1257463,4,10189394,benjimin learn how a clock works.,344,566,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1257113,4,10189391,how Banneker helped the america with his inventions.,126,628,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1258025,4,10189448,The Young Scientist section is about the first clock to be made in the new world,644,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1258351,4,10189449,"Even the he was alway farming,he was still very curious about things.",344,628,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,1258372,4,10189450,yet he found time for another big job.,566,648,,,,0,0,,,,,,,,
TRAINING,I,N,N,M,1259580,4,10189451,vbgfgdcbbbbbbbbbbbbbbg,126,566,,,,,,,,,I,I,,,
TRAINING,H,N,Y,F,1259150,4,10189452,One day a friend of banneker let him use a pocket watch banneker had never seen a clock before he carefully took the watch a part the he drew pictures of every part.,865,566,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,1259556,4,10189453,"he was young,but he studied hard.",566,344,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1259120,4,10189454,Its main idea is to tell us how smart he was even though he was so young.,644,865,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1848733,4,10189469,"The main idea is&quot;,Banneker also used his mind to help farmers.",865,344,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,1848965,4,10189468,"Benjamin Banneker had not lived our capital would look very diffent than it does toady.Bannker was a scienist,farmer,and math expert.",865,82,,,,0,0,,,,,,,,
TRAINING,A,N,N,F,1260507,4,10189455,The main idea of the &quot; Young Scientist &quot; section is that Banneker was very smart. It says in the passage that Banneker made a clock made entirely out of wood. He also helped farmers.,566,644,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1260524,4,10189447,The main idea of &quot;Young Scientest&quot; is even though Banneker was not in schooll he was very smart and figured things out for himself.,344,644,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1260906,4,10189435,the main idea is him being a young scintist and making aclock made out of wood and being the first clock in the new world,82,566,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,1263764,4,10189432,"The main idea is that even though Banneker was busy farming,he was still always curious.",126,638,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1263843,4,10189433,Banneker was the first African American scientist to make a wooden clock.,126,638,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1263844,4,10189434,His friend gave him a pocket watch.,126,628,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,1263961,4,10189429,Banneker was very smart.,126,638,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1264088,4,10189430,the main idea of this story is Benjamin is trying to help the african ameracans.,126,566,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1263115,4,10189431,he was a scientist and he helped shape the united states,126,638,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1263132,4,10189436,The main idea of the ''Young Scientist'' is Banneker figures out how to help or how to do stuf.So he helped farmers and us by making clocks.,644,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,856,4,10189020,The main idea is that Banneker made the first clock completley out of wood. A friend let him borrow a pocket watch. Banneker took the watch apart and looked at all the pieces and then put it back togather.,344,82,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2153381,4,10189497,"The main idea of young scientist is how made things, when he was small.",638,644,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1508,4,10189098,ben helped many people to figuer out how to grow things and build things he was a smart person.,648,566,,,,1,1,,,,,,,,
TRAINING,NR,N,N,M,1746,4,10189109,It shows that he was a scientist who was creative and very hard working. He used his knowledge to help people solve their problems.,126,82,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1603,4,10189091,the main idea is that i will borrowed books to learn more about math and science.,638,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,3679,4,10189117,yes.,638,648,,,37,,,,,,I,I,,,I
TRAINING,H,N,N,M,3498,4,10189103,How Benjamin was curious and how he studied.,644,865,,,,0,0,,,,,,,,
TRAINING,W,N,Y,F,4922,4,10189001,that he lefted school to take care of the gardened when he was 15years old,865,566,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,3897,4,10189009,How Benjamin Banneker made the first clock,61,644,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,5799,4,10188829,"The main idea he was always curious about the world. In the first sentence of that section it said &quot;Even though Banneker was a busy farmer, he was always curious.&quot;",126,865,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,5418,4,10188838,It was mostly about him making a clock for new york and helping farmers with crops.,61,628,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,7138,4,10188851,"benjamin banneker helped shape the united states.banneker was a scientist,farmer, and math expert.he was alos an african american.at that time.",126,566,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,7109,4,10189005,The young scientist is varey smart and inteligent.,566,344,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,7275,4,10188844,idk,61,638,,,37,,,,,,I,I,,,I
TRAINING,H,N,N,F,7436,4,10188856,Ithink the main idea is how he was always open to trying new things.Also every time he learned about something he wouldtry to makeor invent something to improve it.,566,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,6541,4,10188833,IT WAS THAT HE MADE A WOODEN CLOCK.,566,344,,,,0,0,,,,,,,,
TRAINING,I,N,N,M,6358,4,10189154,The section is the young scientist is learning stuff he is learning science and all about math to become a great one.In the story He was going to use what he had learned so he made a wooden clock.,865,648,712,,,0,1,1,,,,,,,
TRAINING,W,N,N,M,6681,4,10189168,Banneker was always curious even though he was busy farming. Banneker also borrowed books from people so that he could learn more. He made the first clock in the new world and it was made entirely out of wood.,126,566,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,6327,4,10189163,It is about him making clocks. He took apart a clock and then he fixed it.,566,628,,,,0,0,,,,,,,,
TRAINING,W,N,Y,M,8631,4,10189147,He was allways curious.He borrowed books to learn more about math and science.,126,865,,,,0,0,,,,,,,,
TRAINING,NR,N,N,M,7609,4,10189144,Banneker was a bussy farmer . He had a watch and took it a part to review it . So he made the only wood watch clock. His discovery helped farmers plan so that their crops would not be eaten,865,82,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,7849,4,10189140,"On this day in history,a man was born who helped shape the United States.",344,628,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,9658,4,10189133,"&quot;Even though Banneker was busy farming, he was always curious. He borrowed books to learn more about math and science. One day, a friend let him borrow a pocket watch.&quot;",82,126,,,,0,0,,,,,,,,
TRAINING,B,N,N,M,9701,4,10189136,Young Scientist was learning math and writing dut he past the famley farmer.,344,126,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,10206,4,10188814,In Young Scientist it shows how curious he was as a kid and how he helps the world. It shows how he made the first clock in the New World. It shows how he helped with locast eating the crops.,566,648,712,,,1,2,2,,,,,,,
TRAINING,W,N,Y,M,12321,4,10188807,when he quit school he heleped farm and dis covered somthing when he's freind gave him a watch,566,126,,,,0,0,,,,,,,,
TRAINING,I,Y,N,F,11369,4,10188803,"I think that even though Banneker was busy farming,he was always curious.Also that he carfully took the watch apart.",566,344,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,11447,4,10188798,Even though Bannker was busy farming he was always curious,566,865,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,13026,4,10188819,The main idea of the young scientist section is that his friend let him borrow a pocket watch and he took it apart and drew pictures of every single part then he put it back together and it worked agian and what he drew he made a clock that workd made out of wood and that's how he became famous for.,865,126,,,,0,0,,,,,,,,
TRAINING,B,Y,N,M,1850058,4,10189470,On this day in history a was born who helped shape the,566,628,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,16232,4,10189198,The main idea to back to is about clock because Banneker saaw his first clock and he carefully took the watch apart and then he drew pictures of every part.Then he put he put it back togetter.Baaeker made his own clock entirely out of wood and he got famous.That's why I think main is about banneker making his own clock and gatting famous,638,126,,,,0,0,,,,,,,,
TRAINING,W,N,Y,F,16246,4,10189179,The main idea of the ''Young Scientist''section isthat he made the first wooden clock even though he he had other things to do in his life.,644,628,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1851506,4,10189472,A freind gave banneker a pocket whatch and banneker took all the parts out and dralled it all out and was very famous for it.Banneker was asked to drall out the white house out and the guy who was in charge took the papers.,126,566,,,,0,0,,,,,,,,
TRAINING,A,N,N,F,16219,4,10189185,"The main idea is that Banneker was always very curious because he always borrowed books to learn more about science and math, so one day a freind let hi8m borrow a pocket watch and he made a regualr clock.",344,82,712,,,0,1,1,,,,,,,
TRAINING,W,N,N,F,15943,4,10189182,"&quot;Young Scientist&quot; is about Banneker in his early life. He borrowed books about math and science.One of his friends let him borrow a pocket watch and Banneker had never seen a clock, so he took it apart. Then he made a clock out of wood. I t was then famous. Banneker helped farmers. He made crops grow better by moving crops.",865,638,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1851638,4,10189471,"The main idea is that when Banneker was little, he was very thirsty for knowlage because he borrowed books and took apart a watch.",82,865,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,17529,4,10189173,HHH,344,82,,,,,,,,,I,I,,,
TRAINING,W,N,N,F,18411,4,10189194,They want to tell us that there can be not-so-smart people and there can be ever-so-clever people.,566,82,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,17645,4,10188756,"The main idea of the passage is Benjamin Banneker was curious. Once, he took apart a pocket watch a made the first clock!",126,82,,,,1,1,,,,,,,,
TRAINING,H,N,N,F,17688,4,10188721,The main idea of this section is that Banneker was a farmer but he was also very ingelligent. He made the first world clock just by studying hif friends` pocket watch.,628,82,,,,1,1,,,,,,,,
TRAINING,B,N,N,F,17580,4,10188768,he barrowed books that can help him with his work.at the age of fifteen he stop going to school so he can take care of the farm and family.he didn't learn that much but he shaped california to be what it is today.,566,126,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,17828,4,10188764,It was about farming. It says that in the first sentence.,648,644,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,19606,4,10188778,To show all the things he did.,638,126,,,,0,0,,,,,,,,
TRAINING,W,N,Y,M,19640,4,10188784,HE WAS A SCIENTIST FARMER AND BANKER.,126,865,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,19721,4,10188791,Banneker had learned something new,648,344,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,1852827,4,10189439,That he was so smart.,126,344,,,,0,0,,,,,,,,
TRAINING,I,N,N,F,1853506,4,10189440,"yes,",82,644,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,1854221,4,10189441,He was smart,865,126,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1853833,4,10189442,"He borrowed books to learn more about math and science. One day, a friend let him borrow a pocket watch. Then he took the watch apart and he drew pictures of every part. Then he put it back together and it worked. It became famous for being the first clock made in the New World.",126,648,712,,,0,1,1,,,,,,,
TRAINING,W,N,N,M,1854773,4,10189444,The main idea is that Banneker apart a watch and put it back together.,865,628,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1854672,4,10189443,Banneker stoped school and became a young scientist.,344,644,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1855821,4,10189445,The main idea is that he was a farmer.,644,344,,,,0,0,,,,,,,,
TRAINING,B,N,N,M,1855846,4,10189446,thoght banneker was busy farming he was always curious,865,566,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,1856826,4,10189457,it explains about Ben as a young scientist.,566,628,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1857411,4,10189458,"a farmer, mathmatithion, and a school boy",82,628,,,,0,0,,,,,,,,
TRAINING,A,N,Y,M,1857018,4,10189459,he alway borrowing books,82,628,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1857576,4,10189460,"Even though Banneker was busy farming,he was alwasys curious.",344,566,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1859710,4,10189456,The main idea of &quot;Young Scientist&quot; is when Banneker was starting to be a scientist.,648,82,,,,0,0,,,,,,,,
TRAINING,W,N,Y,F,1860609,4,10189418,"The main idea is that Baneker was starting to farm and was busy farming but when he didnt go to school he always went to a librairy to get books and learn more.One day a friend let him borrow a watch,but he had never seen a watch before so he made one too the clock was very famous.He also helped farmers but helped crops not being eaton and plenty of water.",126,82,712,,,0,1,0,,,,,,,
