label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,W,Y,N,F,4867909,3,10206074,&quot;you can play a game or you can play outside &quot;said mom ok said charles.,566,114,,,,0,0,,,,,,,,
TRAINING,A,Y,N,M,2192053,3,10205877,He can play some of his toys.,210,90,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2192818,3,10205878,Charle was very hungry.,566,90,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,4868979,3,10206095,just watch tv said mom,210,344,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,4868746,3,10206071,he goes into the kitchen and gets a snak so he wont be hungry any more or he can wait until they all come,566,344,131,,,1,0,0,,,,,,,
TRAINING,H,N,N,F,2195283,3,10205875,I cant make time go faster mom said. Eat some friut if we have mom said.I gess mom said Charles. He ate an appel then his cusens arived and they all ate diner.,644,90,,,,1,1,,,,,,,,
TRAINING,H,N,N,F,5206506,3,10206098,charles was playing with a ball then charles looked outside his window and he saw his cousins when they went inside then he played with them a hour later charles mom said time to eat charles ran to the table and then he was happy.,90,344,,,,1,1,,,,,,,,
TRAINING,H,N,N,F,2196373,3,10205874,"Charles goses to his room and thinks of something to do.Out of noware he got something to do he was going to make a pie.He toled his mom.she said,''Yes but do not make a lots of crumbs on the flore.'' After that his cousins were there.",114,210,,,,1,1,,,,,,,,
TRAINING,A,N,N,F,2196220,3,10205873,"Charles went upstairs to his room to look for something to do.He thought of playing a boardgame,drawing,or playing the computer.He decided to play a game on the computer.So he played for 15 minutes.Then he felt like drawing,so he drew for 30 minutes.15 minutes were left so he decided to play the boardgame.Time pased by so quickly,he didn't notice it was 1 hour. Finally, Charle's cousins arrived.That meant it was time to eat.Charles was so happy",566,114,131,,,2,1,1,,,,,,,
TRAINING,H,N,Y,F,4873395,3,10206072,You could go play with the ball or go riding yor bike and even use the computer.,90,344,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2197988,3,10205876,"Charles thought about it. He decided he could do something else. ''Mom, I know what I want to do now'' said Charles. So he went upstairs to his room and got out his crayons and markers. He thought to himself, ''If there is going to be a family reunion, I will be creative and make decorations''. So he cut out stars from cardboard and colored them. And thats not all! He also made little gifts for his family reunion. Finally Charles mind was off dinner, and he continued doing arts and crafts. Finally, he was done. Charels heard a car door slam outside. Was the family here? He peeked outside his bedroom window. His cousins were here! Charels gave his cousins a great, big hug. He gave his gifts to his cousins. Then they had a nice, peaceful dinner.",90,344,,,,2,2,,,,,,,,
TRAINING,A,N,N,F,4873689,3,10206073,Charles could play with a toy instead of waiting untill dinner is ready.,644,90,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,2885183,3,10205899,wait when the is ready to eat,566,90,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,4875948,3,10206076,His Mom got a bord gam fom the atek. then gav the bord gam to him,114,90,131,,,1,0,0,,,,,,,
TRAINING,A,N,Y,F,4876530,3,10206069,"Charles went to his room and found a box.On the box, it written crayons.Charles grabbed the box and put it on his desk.Then,Charles found a big piece of paper.He got the piece of paper, and went to his desk.Now,Charles knew that he was going to draw,but what? Today was his family reunion.Then,Charles came up with an amazing idea!He would draw a sign that says,&quot;Welcome!&quot;.Charles worked on his sign for a long time.Then,the doorbell rang.It was his cousins!And,Charles was also done with his sign!He showed his cousins the sign and had a wonderful time.",344,90,,,,2,2,,,,,,,,
TRAINING,H,N,Y,M,4878819,3,10206064,The two paragraphs are being put in one.,114,814,,,737,,,,,,I,I,,,I
TRAINING,H,N,Y,M,2501564,3,10205879,Charles's problem can be salvd by eting a snak.Charle way dont you eat a snak graet idia mom.,90,344,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2502333,3,10205880,he will think of something fun to play,644,114,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2503776,3,10205881,why didn't mom make dinner.,90,114,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,4880954,3,10206081,"Charles couldn't find anything to do ,so he waited and waited.Not long after, he thought of what he could do and he found something to do, he could watch one of his favorite shows and he did.After the show was over,he played some games for the other half of the time.When he was done playing the game it was time to eat. His mom called him over to the table.The food was on the table ready for him to eat.",644,90,,,,1,1,,,,,,,,
TRAINING,H,N,N,M,4881022,3,10206082,He makes time go bye faster by finding somthing fun like a toy or game.,90,510,131,,,0,1,0,,,,,,,
TRAINING,H,N,N,M,2505688,3,10205846,They need more lunch time for the chrildren.,90,566,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,4881655,3,10206077,"Charles tried thinking,but there was nothing for him to do, till his stomach growled, and he thought, &quot;maybe my cousins are hungry too,I will make a snack for them just incase if the food is not ready.So he made some school buses with bananas and strawberrys,and he made some sailboats with a peach and paper.But he was wrong,when the cousins came the food was ready,so they had it for snack. And they loved the snack.",344,210,,,,2,2,,,,,,,,
TRAINING,W,N,N,F,2506490,3,10205847,"he decides to make his own thanksgiving out of arts and crafts of course so he gets some paper and starts making all of the food, like gravy stuffing mashed potatoes vegtebles pumpkin pie and of course turkey. when his cosins come they all come upstairs and went into charles room and said wow thats amazing after 30 minutes of playing around with the fake dinner all of the parents went inside and saw all of the food and started touching it and finally mom said was time for dinner chareles was so happy.",114,344,,,,2,2,,,,,,,,
TRAINING,W,N,N,F,2506530,3,10205848,Think of something other than food,510,566,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2506797,3,10205849,ok said charlie i will play in my room and he did. soon his cousins came already he cried it was like a minuet!!,774,566,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,2506729,3,10205850,so charles decited to give it a try. he went into his bedroom and looked and looked for something to play with. Until soething caught his eye it was right by his new art kit it was his mustace mogo set he got for his birthday. Chales played and played until it was time to eat.,90,865,,,,2,2,,,,,,,,
TRAINING,H,N,N,M,4882256,3,10206070,"Charles is thinking of what things he can do that are fun. He thought of things like football,watching tv but they all didnt work. Then he thought of something he can do he can play catch with himself. Finally his cousins came and the food was ready and his problem was solved.",566,90,,,,1,1,,,,,,,,
TRAINING,A,N,N,F,2885727,3,10205900,like maybe if you go out and play or invite friends over so you can play.,644,210,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2594515,3,10205891,SO HE MADE UP A GAME CANT TOUCH THE GROUND SO HE STARTED TO PLAY BUT HIS MOM SAID STOPE JUMPINGS SO HE STOPED JUMPINGTHEN HE PLAYED A DIFRENT GAME SO H PLAYED HIS XBOX THEN HE GOT BORD SO HE PLAYED HIS FHONE AFTER THAT DINER WAS READY SO HE WENT DONE STAIRS,566,644,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,11037490,3,10206778,THE TEXT SES THAT HE NEDED TO RIET STORY OBOT A FAMLYREUONYEN BUT THEN HEGROWLD,82,131,183,,737,,0,0,,,I,,,,I
TRAINING,H,N,N,F,4884017,3,10206084,Charles went to his room to think of something to do. He sat on his bed he was thinking and thinking.Suddenly he quickly got up and ran to his closet and he said&quot;A puzzel I will build a puzzel&quot;! He took it down and the next thing he knows is his mom saying&quot;Dinner Time&quot;and his cousins where here. Charles was glad that everyone was here.,644,114,131,,,2,1,2,,,,,,,
TRAINING,W,N,N,M,2594776,3,10205889,Charle goes outside and plays then it is ready,566,865,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,4884037,3,10206083,He solved his problem by waiting until dinner is ready and playing by hisself.,566,90,131,,,0,1,0,,,,,,,
TRAINING,A,N,Y,M,5622398,3,10206207,As he fineshed sweeping pie crambs.,510,131,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2596683,3,10205890,Play out a game to make time pass more quicker,644,114,,,,0,0,,,,,,,,
TRAINING,B,N,N,M,4884391,3,10206093,you can pass more quickly if you payotichen,82,114,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2598801,3,10205888,Then Charles found a box it was shaking then he went over to open it it was a dog .Charles loved that dog he named it pluto.Charles played with pluto until his cousins arrived . They had so much fun.,814,865,131,,,1,0,1,,,,,,,
TRAINING,H,N,Y,M,2598773,3,10205887,the ending for the stoy is that they want to cag time.,114,90,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,4885072,3,10206094,In the end he found a way to get his mind off food.ahCharles's mom had told him to go read a book or color or draw so he had disided to read a book and as soon as he fineshed a chapter dinner was ready to be eaten by hunggry Charles.,644,510,,,,1,1,,,,,,,,
TRAINING,I,N,N,M,4887405,3,10206087,your right i can play with toy or my friend thanks mom.,210,344,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,2888972,3,10205901,Then the cousins came and Charels and the cousins made a game out of carboard pieces and it was called Dodge or Dare.,510,865,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,2889484,3,10205902,He was very hungry and he needed a way to make time go by fast.,114,644,,,,0,0,,,,,,,,
