label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,W,Y,N,M,1631431,3,10218913,<p>he is wrong because for ham it says you need 2 slices of ham and 3 slices of turkey</p>,56,553,,,,2,2,,,,,,,,
TRAINING,A,N,N,F,1635552,3,10218901,"<p>For ham he is wrong because if you count by 2's you would make 9 sandwiches with 18 slices of ham. Yes, Nick did the turkey right because if you counted by 3's you would get 6 sandwitches out of 18 slices of turkey.</p>",2325,562,,,,2,2,,,,,,,,
TRAINING,W,N,N,F,1638168,3,10218915,"<p>no,becase 2x6=12 so it is 12 and 6x3=18 so it is 2x6=2 and6x3=18</p>",539,562,,,,2,2,,,,,,,,
TRAINING,H,N,Y,M,1646209,3,10218899,<p>I&nbsp; thning he is wrow became 18 slices that is to mure</p>,75,2325,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2267422,3,10219003,"<p>No, nick is not correct because the ham sandwitches only take 12 pieces of ham not 18 and the turkey only takes 12 too not 18. You need 2 pieces of ham on each sandwitch so if you count by 2s you get to 12 not 18&nbsp; the same for both sandwitches.</p>",2325,75,,,,1,1,,,,,,,,
TRAINING,H,N,N,F,2267520,3,10219005,<p>No because if each sandwich has two slices of ham then it wouldn't be 18 it would be 12 slices but turkey would be correct because 6x3=18 slices. So in <b>one </b>way he is correct but the ham sandwich is not correct.</p>,75,562,,,,2,2,,,,,,,,
TRAINING,NR,N,N,F,2704505,3,10221899,"<p><b>NO, because 18 and 18 does not equal 12.</b></p>",553,562,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2706078,3,10221902,<p>No he is not correct because if he makes 6 sandwitches with 18 slices of ham and you will have to much slices of ham. And if you use 3 slices for each sandwitch outof turkey you will need more turkey slices.</p>,544,553,36,,,0,1,1,,,,,,,
TRAINING,W,N,N,F,2955239,3,10221928,<p>he is wrong the awenser is 12 slices of ham and turkey because both of them are&nbsp; the same amount.</p>,553,235,,,,1,1,,,,,,,,
TRAINING,B,N,N,M,2955512,3,10221925,<p>nick needs 36 more ham turkey sandwitch</p>,544,553,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,2959366,3,10221931,<p>No bcus 6 add 6=12</p>,2325,296,,,,0,2,,,,,,,,
TRAINING,H,N,Y,F,2960970,3,10221915,<p>31 because if you add the ham and the turkey you will get 31</p>,56,75,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2961384,3,10221918,<p>Nick is wrongh becues 18 is tow mutch for the ham and turkey.</p>,56,544,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2962308,3,10221922,<p>nick needs 12 slices of ham and 18 slices of turkey.</p>,553,56,,,,2,2,,,,,,,,
TRAINING,H,N,N,F,2912645,3,10221911,<p>in&nbsp;&nbsp; totl&nbsp;&nbsp; ol&nbsp; to&nbsp;&nbsp;&nbsp; gedr&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; it;s&nbsp;&nbsp; eckos&nbsp;&nbsp;&nbsp;&nbsp; to&nbsp; 96&nbsp;&nbsp;&nbsp; is&nbsp;&nbsp;&nbsp; totol</p>,75,544,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2913583,3,10221908,<p>No he is not correct because he needs 12 slices of ham to be correct.He is correct on the turkey part you need 18 slices of turkey.I added the slices of ham and I got 10 slices.On the turkey slices I got 18 so he is right about the turkey part.</p>,539,75,,,,2,2,,,,,,,,
TRAINING,H,N,Y,M,2912945,3,10221905,<p>3x6=18 sandwiches</p>,75,296,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,3194331,3,10221935,<p>No Nick is not correct because 6 and 6 equals 12.18 and 18 can&nbsp; make 15 sandwiches.That makes 3 more sandwiches than nick has to make.</p>,56,235,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,3885077,3,10222013,<p>Nick is not correct because 6+6=12 not 18.So he is not correct.</p>,553,544,,,,2,2,,,,,,,,
TRAINING,W,Y,N,M,3887236,3,10221991,"<p>No, becuase the turkey is 15 and the ham is14 so it is not 18.</p>",553,235,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,3889779,3,10221994,"<p>No, &nbsp;Nick is not correct. If he is making six ham and turkey sandwiches, then he will only need twelve slices of turkey and ham.</p>",235,553,,,,1,1,,,,,,,,
TRAINING,A,N,Y,M,3889988,3,10221997,<p>No because 6 times 2 =12.</p>,553,544,,,,2,2,,,,,,,,
TRAINING,B,N,N,F,3892616,3,10222010,"<p>No he is wrung, if that is true it would equale 22.</p>",75,544,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,3892200,3,10222007,<p>No becase to ham you need 6 but in turkey you need 18</p>,544,553,36,,,1,0,0,,,,,,,
TRAINING,H,N,N,F,3894926,3,10222220,<p><b>No</b>! He is<b> not </b>correct. He needs 6 slices of ham and 6 slices of turkey to make all six sandwiches.</p>,553,561,,,,0,0,,,,,,,,
TRAINING,B,Y,N,M,3859131,3,10222224,<p><u>U</u></p>,544,553,,,718,,,,,,I,I,,,I
TRAINING,H,N,Y,M,3865179,3,10222068,<p>he can make 6 sandwichs and 3 each slices.</p>,544,235,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,3869700,3,10222062,"<p>No he is not correct because if he is making sandwiches, 6 of ham and 6 of turkey, he will need 6 ham slices and 6 turkey slices.</p>",75,539,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,3869443,3,10222065,<p>No he is not because they each needed 2 and 3 slices of turckey and ham sandwiches.</p>,235,296,,,,0,0,,,,,,,,
TRAINING,I,Y,N,M,3891380,3,10222019,<p>NO BEACAUSE THEIR IS TO MANY STUFF LIKE 6 HAM SANDWITCHES IN 6 CHEESE AND</p>,553,75,,,,0,0,,,,,,,,
