label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,W,N,N,F,2192012,3,10193221,my opinion is that fast food is good,2143,844,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2192085,3,10193219,he likes tocos and hamburgers to.,129,2143,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,5614850,3,10193944,"James is Sending,a letter,to His freind Of Food,and A Resterrant. Tocos,Hambuger,Meat,Cheese,Lettuce,Tomatoes,Ketchup,An a lot of other Food he is Telling so Many Kind of Food.and Any Kind",480,2143,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,2192361,3,10193226,hi juan did you ever eaten a hamburger,2285,2143,,,,0,0,,,,,,,,
TRAINING,A,N,Y,M,2192435,3,10193223,"James goes to fast food restaurant and ate hamburger.Then he put chopped meat, with cheese, lettuce, tomatoes, and ketchup in his hamburger.Then he put a bun on his hamburger.",129,2143,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2192516,3,10193229,Did you ever know that hamburgurs and tacos are the same?,480,2143,,,,0,0,,,,,,,,
TRAINING,B,N,N,F,2194679,3,10193232,This is why tacos and hamburgers are the same.,129,480,30,,,1,0,0,,,,,,,
TRAINING,A,N,N,F,4868776,3,10193745,"Fast food restaurants are great.Their hamburgers have meat,with cheese,tomatoes,and ketchup.The topic is about hamburgers and tacos how their the same.",2143,844,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2194378,3,10193217,"I went to a fast food restaurant that had hamburgers and tacos.The hamburger has chopped meat, cheese,lattuce,tomatoes and ketchup.",480,2285,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,4869189,3,10193692,"at fast food restaurants their hamburgers are chopped up meat,with cheese,lettuce,tomatoes,and ketchup.",2143,480,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2195097,3,10193214,"I think that hamburgers are just as good as tacos,but I like hamburgers more.The hamburgers have many things that you could put on it like tamato slices, ketchup, cheese, and more. So you could know whats on it or put. It would be good if you put your opinion so I can know what you like better. So this is what I like penpal see you soon bye.",844,480,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,4870722,3,10193690,dear juan like hamburgers and tacos,480,844,,,,0,0,,,,,,,,
TRAINING,W,N,Y,M,5616527,3,10193939,I think both hamburgers and tacos are lovely.The topic is about your favorite foods I know this because James talks about both foods.,480,844,,,,0,0,,,,,,,,
TRAINING,A,N,Y,M,5616569,3,10193942,"Did you know a fast food restaurant's hamburger are chopped meat,with cheese,lettuce,tomatoes,and ketcup",480,844,,,,0,0,,,,,,,,
TRAINING,B,N,N,M,2195810,3,10193190,have you ever been to a fast food reastaurant I love fast food reasaurants,480,2143,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2195550,3,10193193,The topic is how hamburgers and tacos are alike and how the student writes e-mails/letters.,87,844,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2196663,3,10193200,"I think that hamburgers and tacos's ingredients are very much alike,if not the same! Do you?",87,2143,30,,,1,0,0,,,,,,,
TRAINING,H,N,Y,F,2196520,3,10193202,The student's letter does not state his opinion bcause he mosley talk about what was in the hamburgers and tacos,129,2143,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2196325,3,10193196,i lik hamrgr cus dae hav hes antukos cus dae hav hili.,844,2143,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2197282,3,10193204,The topic is about a boy that gets tocos from Mexico and and it takes place in a restaurant and he does hamburgers.,844,2143,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2196760,3,10193207,A dragon who does not have any friends.One day he meet a ghost in a cave.The dragon told the ghost what his name was he said it is Steven Univers.He was sad becuse he lost his dad and he began to cry.the dragoon told him to cheer up. the dragon began to look for him.The dragon asked Steven what was his dads name he said Sandman Univers.The dragon said his name in a mad voice! At the end he made two best friends,129,2143,,,726,,,,,,I,I,,,I
TRAINING,H,N,N,M,5206597,3,10193749,The topic is about hamburgers and tacos and how they were the same. I think both of the foods are the same because they both have something made out of tomatos,2143,87,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,2197804,3,10193211,The topic is about the diffrents about a taco and a hamburgers and what is the same about taco's and hamburgers.,844,2143,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,4873610,3,10193694,"The topic of James letter is asking if his pen pal in Mexico has been to a fast food restaurant,and if his pen pal ever ate a hamburger or a taco before.",2143,844,,,,0,0,,,,,,,,
TRAINING,A,N,N,F,2499231,3,10193235,I think that tacos and hamburgers are litteraly the same.,129,2143,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2499701,3,10193238,the topic is about how a student is comparing a hamburger to a toco. hes saying how there is chopped meat just like tacos and theres lettuce and tamatos pluse cheese.,2143,844,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,4878905,3,10193669,I think fast food restaurants are good. They thought me how to make thinks.,2143,129,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,4879516,3,10193673,This topic is about fast food restaurants James was talking about humdurgers and tocos.,2143,129,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,5619481,3,10193976,Their hamburgers are chopped meat with other stuff but some hamburgers have different things in it.the topic is about how tacos and hamburgers are the same.,129,2143,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2501091,3,10193240,The topic is about a fast food restaurant.The opinion is i like hambergres too.,129,2143,,,,0,0,,,,,,,,
TRAINING,W,Y,N,M,4879267,3,10193671,he like hamburgers and tacos he is writing a letter to james,87,129,,,,0,0,,,,,,,,
TRAINING,B,N,N,F,2501808,3,10193243,tacos are not the same as hamburgers because they have different things in them like tomatoes and tacos have lettece and a shell hambergers have a bun,2143,844,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,5206406,3,10193747,"dear juan I think that tacos and hamburgers are the same because they have the same things inside of it like they have chopped meat,with cheese,lettuce,salsa and ketchup that are made out of tomatoes",2143,87,,,,1,1,,,,,,,,
TRAINING,H,N,N,M,5619181,3,10193978,A Fast Food Restuarant is like when they surve the food so fast like in a short time.The topic is about if you went to a restaurant to eat tacos and hamburgers to try them.It's just telling you about if you ate tacos or hamburgers to combine them if you like most tacos or hamburgers.,844,87,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2502618,3,10193247,I think hamburgers and tacos are the same thing heres why.,87,844,30,,,0,1,1,,,,,,,
TRAINING,H,N,Y,F,2502815,3,10193249,That hamburgers are just as good as tacos. He is also saying that you could put on almost all the topings on a taco as a hmburger. So come try the hamburgures and lets see if you like them just as much as tacos.,480,2143,,,,0,0,,,,,,,,
TRAINING,A,N,N,F,2502307,3,10193252,"The topic about this freindly letter is that James says that tacos and hamburgers are the same. He says hamburgers have chopped meat, cheese, lettuce, tomatoes, and ketchup. Also tacos have chopped meat, cheese, lettuce, tomatoes, and salsa, wich he says it is made of tomatoes just like ketchup. But Juan mite not like it!",2143,129,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,5620120,3,10193980,thare just like toco,129,2285,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2503793,3,10193255,"Dear juan,In my opion hamburgers are beter then tacos.I tink tacos are good but not that good to me.there good to you but not goood to me.Have you ever been to Fast Food Restaurant they have tacos and hamburgers! Theyre food is good in my opion.I love hamburgers and now tacos. Talk to you soon, love James",87,480,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,F,2504087,3,10193257,James should tell Juan if he likes tacos and hamburgers or not in the letter.,480,844,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,2504852,3,10193264,The student is trying to tell us if we ever been to a fast food restront if not he is telling us what is in the restront and to entrudos us to the restront,129,2285,,,,0,0,,,,,,,,
TRAINING,A,N,N,F,2504861,3,10193268,"I think hamburgers and tacos are the same.First reason I think hamburgers and tacos are the same because they both have chopped meat,cheese,lettuce,tomatoes.Second reason I think hamburgers and taco are the same because ketchup made from tomatoes and salsa is made from tomatoes,too.Last reason I think hamburgers and tacos are the same because bun comes from corn and is fried.",480,2143,,,,1,1,,,,,,,,
TRAINING,A,N,N,F,2505097,3,10193261,It is about how to make tacos and hamburgers,129,2143,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2504809,3,10193109,He wants to no if hamburgers and tacos ar alike,87,844,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2505392,3,10193110,James thinks hamburgers and tacos are the same but they are not the same because the hamburgers have buns and tacos have torteas but ther stil cindof the same because they both have tomatoes and they both have lettuce.,87,844,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2505520,3,10193113,i like hamburgers. bcks thar are yrm,844,480,,,,0,0,,,,,,,,
TRAINING,B,N,N,M,4881253,3,10193704,I think there alike because almost evering is alike but if you asked me i would like tacos more.,844,87,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,2506449,3,10193117,food,129,87,,,726,,,,,,I,I,,,I
TRAINING,W,N,N,M,2506060,3,10193115,It is about maxacan food,2143,87,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,4881893,3,10193700,"I think hamburgers are like tacos because they both hav e meat,lettuce,chesse, and tomatoes.",2143,480,,,,1,1,,,,,,,,
TRAINING,H,N,Y,M,4881928,3,10193702,Hamburgers an Tacos an Humbegers are chopped meat with Cheese lettuce tomatoes,480,129,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,4882237,3,10193706,tocos and hambuergers are realated,2143,480,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,2507160,3,10193120,I think hamburgers are good they have buns.,129,2285,30,,,0,1,0,,,,,,,
TRAINING,W,N,N,F,2507205,3,10193125,the topic is hamburgers and tocos,844,87,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,2506896,3,10193123,Hi,844,480,,,726,,,,,,I,I,,,I
TRAINING,B,N,N,M,4882264,3,10193683,"the topic is all a bowt tacos are the same as hamburgers hamburgers have chopped, meat with cheese, lettuce, tomatoes, and ketchup and and for a toco is also as a hamburgers",129,2143,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,4882190,3,10193685,"Dear Juan, Do you think hamburgers are the same as tacos ? They are made of simular ingreedents.",844,480,30,,,1,0,0,,,,,,,
TRAINING,W,N,N,M,4882595,3,10193687,"Dear Juin, Have you ever been to a fast food restaurant? their hambergers are just like tacos.",2143,480,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,2507260,3,10193128,hamburgers and tocos are the same thing.,2143,844,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,2507695,3,10193130,Can we talk about fast foods because I have an opinion on hamburgers and tacos.,129,2143,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,4882825,3,10193688,JAMES LOVE EAT AND HAMBURGERS AND TACOS.JUAN IT AT FAST FOOD AND RESTAURANT.JUAN LOVE PIECE OF BREAD AND TACO.AND CRON.,2143,844,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,2593832,3,10193292,"The topic is about A student write letter to his friend in mexico about he like hanburgers or just like tacos .In the student ask to his friend have you been toa fast food returant their are tacos and hamburgers with cheese ,lettuce,tomates you can use salsa in your taco.In his friend like both I love hamburger and tacossss.",844,2143,,,,0,0,,,,,,,,
