label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,A,Y,N,M,4943284,11,10188745,He father was okay with it as long as he become a major league pro that his cousins can look up to.,2236,648,,,,0,0,,,,,,,,
TRAINING,I,Y,N,M,6238324,11,10190615,it is rough becuase his fauther is always serious and had to help rebuild japan.,257,270,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,2300062,11,10188008,"Saburo's relationship with his father is rather unique than strange or small. His father was different from other fathers but was very caring when his son, Saburo, did track and field. Although his father did not see his son's performance in his 800-meter sprints and such, his father was willing to help his son improve and become a better runner thru training on days where Saburo has no practice. &quot; Saburo's father never attended Saburo's track competitions....But he always inquired adter the results at dinner, showing more interest in his son's times than in his rankings---a good thing, since Saburo never placed especially high&quot;.",257,760,,,,2,2,,,,,,,,
TRAINING,W,N,N,M,2300187,11,10188009,His relationship with his father is more distant because it is awkward when they're together and they don't talk much.,659,257,437,,,0,1,0,,,,,,,
TRAINING,W,N,N,M,6238040,11,10190601,"Saburo's relationship with his father grew throughout hise years. They went together to help for his races when he was in highschool. When Saburo was an adult they started having real discussions, and really enjoying time together.",2236,270,,,,1,1,,,,,,,,
TRAINING,H,N,N,F,4943965,11,10188743,"Saburos father would never go to histrack competitions, but at the dinner table he had never been so interested in hearing how well he did and what he placed in.",648,760,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,2300769,11,10188011,Saburo and his father both went the the effects of the war and both got threw it.,2236,648,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,4945490,11,10188734,"In the beginning, Saburo and his father were not really close because Saburo's father wanted Saburo to focus mainly on academics. They couldn't relate to each other until after Saburo left for college and earned his degree in Civil Engineering. There, Saburo met his father's passionate's side, the side he always saw with his friends' fathers.",2236,291,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,4945843,11,10188730,.,648,257,,,12,,,,,,I,I,,,I
TRAINING,H,N,N,F,4945307,11,10188741,"the father seem more interest in his son now ,",648,257,,,,0,0,,,,,,,,
TRAINING,B,N,N,M,4945422,11,10188739,"Saburo has a good relationship with his father. When Saburo wants to do somnehin, he can come to his father for support.",141,760,437,,,1,0,0,,,,,,,
TRAINING,B,N,N,M,2301390,11,10188013,I think him and his father seem to have a respectful relationship. I think Saburo know his father has done great things and wants to live up to his goals.You tend to see this with most asian cultures .,237,648,437,,,1,0,1,,,,,,,
