label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,H,N,N,M,1670981,11,10219374,<p>It is because there is a 67 degree angle in the triangle.&nbsp;</p>,429,2523,319,,,0,1,1,,,,,,,
TRAINING,W,N,N,F,1671012,11,10219376,<p>It is not a 45-45-90 because it tells us that the angle above A is 67 so it can to be a 45 degree angle.</p>,402,455,319,,,1,0,0,,,,,,,
TRAINING,W,N,N,M,1676320,11,10219324,<p>because you didnt find the areas for ech variable</p>,455,429,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1677259,11,10219327,<p>they are no 45-45-90 angles in the trpezoid becuase its not figurly the same to those angle they are angles that are not into the diagram given because it has right angle in both sides of the trapezoid .</p>,452,429,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1683807,11,10219358,"<p>Because angle A the the other angle, 67, must add up to be 90 angle A must be 33 degrees, not 45. This leads to the discovery that angle B is not 45 degrees as well because since the third angle is a right angle, A and B must add up to equal 90 so that the total degreees of the triangle is 180. So we can determine that B is 57 degrees, once again not 45.&nbsp;</p>",414,446,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1686855,11,10219360,<p><b><b><u>Because you cannot have a 45-45-90 degrees triangle with no 45 degree angle.</u></b></b></p>,2523,446,,,,0,0,,,,,,,,
TRAINING,W,N,N,F,1684758,11,10219356,"<p>There are no 45-45-90 triangles in the diagram because the 67 degree angle is not equal to 45 degrees, nor is it complementary to a 45 degree angle, and therefore it is clear that neither angle in the right triangle is equal to 45 degrees in either trapazoid.</p>",2523,441,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1685419,11,10219318,"<p>Because of the given angles, you can learn other angle measures based on their relations to the given measures. This would demonstrate that no 45 degree angles would be possible with the given information.</p>",455,2523,,,,0,0,,,,,,,,
TRAINING,NR,N,N,M,1685529,11,10219320,"<p>i know there are no 45&ordm;, 45&ordm;, 90&ordm; degree angles because the opposite angle of angle A is 67&ordm;, making angle A 23&ordm; and there for it would nto be possible for there to be any 45&ordm; angles.</p>",422,452,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,1690007,11,10219322,"<p>The only labeled angles in the diagram are either 90-degree angles or the 67-degree angle labeled in the top trapezoid. In order to add up to 180 degrees, the angle within the triangle must be 23. Therefore, there are no 45-degree angles in the diagram.&nbsp;</p>",402,455,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1691021,11,10219362,"<p>There are only two spots in the given trapezoids where a right triangle can even be created. This is shown in the upper portion of the diagram, but is the same for the lower portion as well. The dotted line shows that the outer anle on the trapezoid is a 67 degree angle. This eliminates all possibilites for a 45 dgree angle.&nbsp;</p>",429,446,319,,,0,1,0,,,,,,,
TRAINING,H,N,N,F,1976858,11,10219350,<p>because in the diagram it doesnt show any of the 45 degrees so we dont know if its a 45-45-90</p>,429,443,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1977510,11,10219354,"<p>A 45-45-90 triangle would have an angle in it that is divided perfectly, leaving 45 degrees on both sides. On the dotted line in the middle of this shape there four 90 degree angles, one of them shown to be divided at 67 degrees along an imagined 90 degree angle. This would result in a 27 degree angle that cannot exist in the three angles within a triangle if it is to have two 45's and a 90 degree angle.</p>",422,2523,319,,,0,1,0,,,,,,,
TRAINING,W,N,N,F,1977657,11,10219352,<p>Well the transversal line hitting the horizontal &quot;z&quot; line (line &quot;y&quot;) creats a 67 degree angle with the horizontal and vertical extensions of the &quot;z&quot; lines. The complementary angle to 67 degrees is 23 degrees. This measurement in a right triangle excludes the possibility of a 45-45-90 triangle.</p>,446,441,,,,1,1,,,,,,,,
TRAINING,W,N,N,F,1978883,11,10219346,<p>I know there are 45 45 90 triangles in this diagram because when cut at a certain point the trapaziod beomes a trigangle. &nbsp;In a triangle there is always 180 degress. &nbsp;So 45 45 and 90 equal 180 degress. &nbsp;In the diagram you can also see that there is a right angle mark. &nbsp;This always means that there is a 90 degree angle there. &nbsp;When you find this angle you are able to subtract it by 180 to then find the other angles of the figure. &nbsp;You can also note that &nbsp;a line is 180 degress. &nbsp;So for examle if the degrees is 67 then the angle right next to it would be 67 minus 180.</p>,422,2641,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1979300,11,10219348,<p>There is a 23 degree angle and a 90 degree angle on a triangle so there cant be any 45 45 90 triangles.</p>,422,452,414,,,0,1,1,,,,,,,
TRAINING,W,N,N,F,1983139,11,10219340,<p>there are no 45 degree angles in the plot of land because the outside angle of A if 67. if you divide 67 from 180 you do not get 45. which means neither of the non right angle angles are 45 degress.</p>,429,2523,319,,,0,1,0,,,,,,,
TRAINING,H,N,N,F,1982316,11,10219344,"<p>By looking at the land I can tell there is no 45 degree angles because it give you one degree of 67, and you can not make the land smaller.&nbsp;</p>",429,422,,,,0,0,,,,,,,,
TRAINING,NR,N,N,F,1981076,11,10219342,<p>There is no 45-45-90 degree angles because of the length of z adds on to it.</p>,443,446,,,,0,0,,,,,,,,
