label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,W,N,N,M,2245419,4,10196255,They have their yeeth for chewing up bark and twigs. They have teeth for nibbling on salty soil.,2225,65,729,,,0,1,0,,,,,,,
TRAINING,W,N,N,F,95605,4,10192376,they did a good job with the hole teeth thing.,2225,148,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,95978,4,10192375,there theeth is like that so they can eat bars and different things,2225,859,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,9573319,4,10198071,Especially low-pitched sounds.,2225,65,729,,716,,0,0,,0,I,,,,
TRAINING,B,N,N,M,96714,4,10192370,porcupines have teeth called cheek teeth.,2225,65,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,97083,4,10192372,They make a scary clattering sound. They use their teeth to srape off bark and eat the tender woody parts of shrubs and trees.,2225,65,,,,1,1,,,,,,,,
TRAINING,H,N,Y,F,96485,4,10192373,the porcupines have a set of flatter teeth called cheek teeth.they have strong teeth and pointy quills.the teeth are sharpen teeth to scrape of bark or woody parts of a tree.,859,2225,729,,,1,0,0,,,,,,,
TRAINING,H,N,Y,F,97111,4,10192374,Perhalphs he had those teeth becuse that was how he was born OR MAYBE THATS HOW HE WHANTED HIS TEE.TH TO BE LIKE,93,71,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,97785,4,10192379,yes,2225,148,,,,,,,,,I,I,,,
TRAINING,H,N,N,M,97131,4,10192377,Porcupines might get a snout or a paw full of sharp quills.,124,244,,,,0,0,,,,,,,,
TRAINING,H,N,Y,F,97235,4,10192380,porcunies are not pigs,2225,65,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,F,98073,4,10192381,My details is that you can't eat a lot of salt because if you do eat a lot of salt it will be bad if you and you will not be heathly for you and you might die if you eat it everyday.,2225,65,729,,,0,,,,,,I,I,,
TRAINING,W,N,N,M,97819,4,10192382,Porcupines have's the teeth because there defese is the sharp stuff on there back's.,124,148,,,,0,0,,,,,,,,
TRAINING,H,Y,Y,M,97909,4,10192355,"they're called pricklepigs,quillpig and quillers.",2225,65,729,,716,0,,0,,0,,I,,,
TRAINING,H,N,Y,M,97956,4,10192356,wood teeth.,2225,65,729,,716,,0,0,,0,I,,,,
TRAINING,W,N,N,F,97974,4,10192357,porcupines have four front teeth built for gnawing on wood,65,2225,,,,0,0,,,,,,,,
