label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,H,N,N,M,1431299,8,10216241,<p>it would be 65 miles because the map shows 5miles per unit.</p>,384,5103,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1431585,8,10216242,<p>90 miles because it takes 30 miles to go to south pole and back and it takes 60 miles to go to camp from there.so if you add those together you get 90 miles.</p>,5136,2497,421,,,1,2,2,,,,,,,
TRAINING,A,N,Y,M,1431271,8,10216248,"<p>The group has to travel 8 miles because every 2 square makes up a 1 mile. First they have to travel 1.5 mile to the southpole and then came back to the camp. Then they thave to travel 5 miles to go to their camp.If you add 1.5, 1.5 and 5 miles it add up to 8 miles.</p>",382,418,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1431327,8,10216249,"<p>It would take the group <b><u>15 miles</u></b> to get to and <b><u><u>15 more miles</u></u></b> back to the south pole from their current location, which all would add up to <u>30 miles</u>. It would take <u><b>60 miles</b></u> to get back to their base , so in all it would take<b> 90 miles</b> in all.</p>",2701,5136,,,,2,2,,,,,,,,
TRAINING,H,N,N,M,1432048,8,10216253,<p>They will have to go 60 miles to get there and 60 miles to go back so its will be 120 miles in total.&nbsp;</p>,418,2497,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,1431990,8,10216255,<p>The group will have to travel 12 miles because i counted the graph points on the side.</p>,5136,5220,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1431713,8,10216254,"<p>They would have to travel 85 miles because if you count all of the units and multiply that number by 5, you would get 85 miles.</p>",330,4005,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1431795,8,10216251,<p>the group will have to travel 61 miles because from the camp to the group is 60 miles than from the group to the south pole is 15 miles so you do 15*15+60*60=3825 than the square root of 3825 is 61.</p>,433,5136,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1432806,8,10216252,"<p>If the group travels by the map layed out for them, it will take the group 80 miles to get back to camp</p>",5220,2497,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1432381,8,10216258,<p>27 MILES</p>,5136,330,,,,0,0,,,,,,,,
TRAINING,W,N,N,M,1432509,8,10216256,<p>150 miles because its 75 miles one way but their going there and back.</p>,5136,382,,,,0,0,,,,,,,,
TRAINING,A,N,N,M,1432879,8,10216257,<p>It takes 15 miles to travel to the south pole from there current location. It takes 75 miles to get to the base camp from the south pole. 15+75=90. The group will have to travel 90 miles.</p>,2674,4031,,,,2,2,,,,,,,,
TRAINING,H,N,N,M,1433343,8,10216224,<p>they will have to travel 120 miles to the south pole and back</p>,2701,5220,,,,0,0,,,,,,,,
TRAINING,I,N,N,F,1433309,8,10216226,<p>80 miles because each unit is 5 miles and it's 16 units</p> <p>&nbsp;</p>,330,5136,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1433964,8,10216250,<p>he will travel 1 miilion miles</p>,4005,2701,,,,0,0,,,,,,,,
TRAINING,H,N,N,M,1433902,8,10216231,<p>so they have to go 55 miles from the camp to the southpole.</p>,2701,2497,,,,0,0,,,,,,,,
TRAINING,H,N,Y,M,1434110,8,10216232,<p>The people that want to travel will want to take a air[plane to the place they wanna go to.</p>,418,5220,,,,0,0,,,,,,,,
TRAINING,H,N,N,F,1434225,8,10216229,"<p>The group would have to travel 90 miles because if they are at there current location to get to where they want to go would be 15 miles, then when they come back to where they were would be another 15 miles, and finally another 60 miles to there final destination which is camp.</p>",5220,2701,,,,2,2,,,,,,,,
