label,data_meta_ethnicity,data_meta_iep,data_meta_lep,data_meta_gender,data_meta_vendor_student_id,data_meta_student_grade,data_meta_student_test_id,data_answer,read_1_reader_id,read_2_reader_id,read_3_reader_id,read_4_reader_id,read_5_reader_id,read_1_score,read_2_score,read_3_score,read_4_score,read_5_score,read_1_condition_code,read_2_condition_code,read_3_condition_code,read_4_condition_code,read_5_condition_code
TRAINING,H,N,Y,F,1314730,7,10210408,"8th grade was amazing they score for touchdowns for Jose Garcia 1 touchdown, but his passs completions was 30. Some players and fan was wearing pink socks for cancer awareness. 500 fans were in the stands for the players for all the players. The Northwest wildcats 38, East Middle school buckroos 35 was Jose Garcia, Todd, Jason, Jamal, Stacy was a team out there. East Middle school Buckaroo are our rivals. Finally they all cheer for the winned.",4107,4964,,,,1,1,,,,,,,,
TRAINING,H,N,N,M,1314844,7,10210409,The Wildcats had a gret season. jason strong and tod whitikar both made two touchdowns. Also jamal jackson made two interceptions. I bealive with the wildcats teamwork we will have the best season ever. Woohoo go Wildcats!!,639,4107,,,,1,1,,,,,,,,
TRAINING,A,N,N,M,1863783,7,10210442,"The 8th grade football did great this season. &quot;The 8th grade football team had an amazing game last Friday night. Our Northside Wildcats defeated the East Middle School Buckaroos.&quot; Not only did our footbal team do well they even defeated our rival the East Middle School Buckaroos. &quot;Coach Wilson said it was great team effort and he was proud of his players' accomplishments.&quot; Coach Wilson was right to be proud of our team, we had four touchdowns, three interceptions, one field goal, thrity pass completions, and one hundred and fity yards rushed, our team did great. Coach Wilson and his team made our shcool proud.",2896,4602,,,,1,1,,,,,,,,
TRAINING,H,N,N,M,1314629,7,10210411,"Our team the Northwest Wildcats faced our rivals East Middle School Buckaroos and won 38-35 with the players and fans wearing pink socks for cancer awareness. 500 fans were in the stands that game. The coach said that this is the best team he's coached since he started at Northside Middle School. Some great players are Jose Garcia, Todd Whitaker, Jason Strong, Jamal Jackson, and Stacey King.",4964,4107,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1315068,7,10210410,"Our Wild Cats are a great, winning football team and they also play for a purpose. The stats for this team is just amazing, and looks like they are playing in the professional level! If you are a good football player that plays for the team and not itself, then you would be a great fit! Wow look at Jose Garcia! He had thirty pass completions with one touchdown! Now look at Todd's stats! Two touchdowns and one hundred fifity yards rushing.",5413,5416,,,,1,1,,,,,,,,
TRAINING,W,N,N,M,1315477,7,10210416,"The final score was Wildcats 38, East Middle School 35. During the game our amazing team wore pink socks for Cancer Awareness month. We had a total of 500 fans in our stands cheering on our Wildcats! After we beat our rivals, the Buckaroos, coach Wilson said that this was the best team he's coached since he started at Northside Middle School. The team quarterback, Jose Garcia, made one touchdown and 30 pass completions! Todd Whitaker and Jason Strong both made 2 touch downs that put us in the lead. Last Friday night we made a record of 150 yards rushing, and interceptions, a total of 3! To finish off the Buckaroos, Stacey King made a last second field goal, impressing the coaches of both teams due to the fact that was his first game! Last Friday was a great game between two great teams, and only ours prevailed!",4602,4140,,,,2,2,,,,,,,,
TRAINING,H,N,N,F,1315589,7,10210417,this session has been great because our last game agianst ou rivals was a great accomplishment.Over 500 fans were in the stands cheering us on it was amazing! Our score was 38to36 couch says he was very proud of his players.,5413,4094,665,,,1,0,1,,,,,,,
TRAINING,H,N,Y,M,1315683,7,10210390,Players and fans wore pink socks for cancer awarness. 500 fans were in the stands cheering the game on. Noethwest willdcats beat the east middle school buckaroos by 38 to 35,4302,4150,,,,1,1,,,,,,,,
TRAINING,H,N,Y,F,1315535,7,10210415,The both team's are really good but even though the Wildcats defeated the East Middle School Buckaroos. Coach Wilson saidb it was agreat game team effort and was proud of the player's accomplishments. I think that some of the audience weren't happy probably they were mad or something and the other half of the audience was all happy because the team won. I say that the 8th grade Wildcats were happy because some of them are not going to play with the same team or have the sam coach for next year some might not even go to the same school and some might play v.s eachother and not have the chance to play with eachother in the same team. So as long as the team Wildcats won when they grow up they will remember when they won the East Middle School Buckaroos and they will remember there friends that were with them to win or the audience that was cheering for them.,660,4107,,,,1,1,,,,,,,,
TRAINING,H,Y,N,M,1584686,7,10210341,The north wildcat student notes are good for the students and the team had to go against east middle school buckaroos and the 8th grade football team had an amazing game last friday night. There northside wildcats defeated the east middle school buckaroos. There coach said it was a great team effort and he was proud of them.,5413,2814,,,,0,0,,,,,,,,
